iter	Passed	Remaining
0	4	4957
1	7	3605
2	9	3057
3	11	2772
4	13	2658
5	16	2741
6	19	2761
7	20	2574
8	23	2574
9	25	2525
10	27	2478
11	30	2470
12	32	2431
13	35	2504
14	37	2483
15	40	2472
16	42	2480
17	44	2432
18	47	2432
19	49	2416
20	52	2427
21	54	2420
22	56	2401
23	58	2396
24	62	2436
25	64	2409
26	67	2422
27	69	2409
28	71	2400
29	73	2387
30	75	2358
31	77	2341
32	79	2334
33	81	2320
34	83	2299
35	86	2307
36	89	2326
37	91	2325
38	94	2321
39	96	2317
40	98	2308
41	100	2295
42	102	2276
43	104	2279
44	107	2285
45	109	2274
46	112	2272
47	113	2256
48	115	2243
49	117	2240
50	120	2233
51	121	2220
52	124	2218
53	126	2218
54	129	2219
55	131	2218
56	133	2213
57	135	2193
58	137	2197
59	138	2177
60	140	2166
61	142	2155
62	144	2151
63	146	2143
64	148	2132
65	150	2127
66	153	2131
67	155	2130
68	157	2127
69	160	2129
70	162	2127
71	164	2125
72	166	2116
73	168	2109
74	171	2110
75	173	2115
76	175	2107
77	178	2104
78	180	2100
79	182	2100
80	184	2098
81	187	2094
82	189	2090
83	191	2088
84	193	2083
85	195	2079
86	198	2085
87	201	2083
88	203	2081
89	205	2075
90	207	2069
91	208	2062
92	210	2054
93	212	2050
94	215	2048
95	216	2042
96	218	2033
97	220	2030
98	223	2029
99	225	2025
100	227	2022
101	229	2017
102	231	2014
103	233	2009
104	235	2008
105	237	2004
106	239	1997
107	240	1989
108	243	1988
109	245	1983
110	247	1978
111	249	1976
112	251	1971
113	252	1966
114	255	1966
115	257	1961
116	259	1956
117	261	1952
118	263	1947
119	264	1942
120	267	1942
121	270	1944
122	272	1943
123	275	1945
124	277	1942
125	280	1943
126	282	1940
127	284	1937
128	286	1935
129	288	1930
130	290	1930
131	293	1926
132	296	1931
133	299	1933
134	301	1928
135	303	1927
136	305	1925
137	307	1922
138	309	1919
139	312	1917
140	314	1913
141	316	1910
142	318	1910
143	320	1907
144	323	1907
145	326	1907
146	327	1902
147	330	1901
148	332	1896
149	333	1892
150	335	1887
151	337	1885
152	340	1887
153	343	1887
154	345	1884
155	347	1880
156	349	1874
157	350	1870
158	352	1866
159	355	1864
160	356	1860
161	359	1859
162	361	1858
163	364	1860
164	367	1859
165	369	1856
166	371	1854
167	373	1850
168	376	1849
169	378	1848
170	381	1847
171	382	1842
172	386	1846
173	388	1844
174	390	1841
175	393	1841
176	395	1839
177	397	1836
178	400	1834
179	402	1833
180	404	1829
181	406	1827
182	410	1831
183	413	1832
184	415	1830
185	417	1825
186	419	1823
187	421	1818
188	423	1815
189	426	1817
190	428	1815
191	430	1812
192	432	1809
193	434	1805
194	436	1803
195	438	1799
196	440	1796
197	443	1797
198	446	1795
199	448	1795
200	451	1794
201	453	1791
202	455	1789
203	458	1787
204	460	1784
205	462	1781
206	465	1784
207	468	1783
208	470	1782
209	473	1781
210	476	1780
211	478	1777
212	480	1774
213	482	1771
214	484	1769
215	487	1768
216	490	1770
217	493	1770
218	496	1771
219	499	1770
220	501	1768
221	504	1766
222	506	1764
223	508	1762
224	511	1762
225	514	1763
226	517	1762
227	519	1760
228	521	1757
229	524	1755
230	526	1752
231	528	1749
232	530	1747
233	533	1747
234	536	1746
235	539	1746
236	541	1743
237	543	1740
238	545	1736
239	547	1733
240	550	1732
241	552	1730
242	555	1730
243	558	1729
244	560	1727
245	562	1725
246	564	1721
247	566	1718
248	569	1717
249	571	1714
250	573	1711
251	575	1709
252	578	1707
253	581	1707
254	583	1704
255	585	1700
256	587	1699
257	590	1697
258	592	1695
259	594	1693
260	597	1690
261	599	1687
262	602	1687
263	605	1687
264	607	1684
265	609	1683
266	612	1680
267	614	1677
268	616	1674
269	618	1672
270	621	1671
271	623	1669
272	626	1668
273	629	1667
274	631	1665
275	634	1663
276	636	1660
277	637	1656
278	639	1652
279	641	1649
280	643	1646
281	645	1643
282	647	1640
283	650	1639
284	653	1638
285	654	1634
286	656	1631
287	659	1630
288	661	1627
289	663	1624
290	665	1622
291	668	1620
292	670	1616
293	672	1614
294	674	1611
295	676	1609
296	678	1606
297	680	1603
298	682	1600
299	685	1598
300	687	1595
301	689	1592
302	690	1589
303	693	1587
304	695	1584
305	697	1581
306	698	1576
307	700	1574
308	702	1571
309	704	1568
310	706	1565
311	709	1563
312	711	1561
313	713	1559
314	715	1556
315	717	1553
316	719	1550
317	721	1548
318	723	1545
319	725	1541
320	726	1536
321	728	1534
322	731	1532
323	733	1531
324	735	1528
325	738	1526
326	740	1524
327	743	1522
328	745	1520
329	747	1517
330	748	1513
331	751	1511
332	752	1507
333	754	1504
334	756	1502
335	759	1500
336	761	1498
337	763	1496
338	766	1493
339	768	1490
340	770	1489
341	773	1487
342	775	1484
343	777	1482
344	779	1479
345	781	1476
346	782	1473
347	785	1470
348	787	1468
349	790	1467
350	792	1464
351	794	1462
352	796	1460
353	798	1457
354	800	1454
355	802	1451
356	804	1448
357	805	1445
358	807	1441
359	809	1438
360	811	1436
361	815	1437
362	817	1435
363	819	1432
364	822	1430
365	824	1428
366	827	1426
367	829	1424
368	831	1421
369	833	1418
370	835	1415
371	837	1413
372	840	1412
373	842	1410
374	844	1407
375	846	1405
376	848	1402
377	850	1399
378	853	1397
379	854	1394
380	857	1392
381	859	1390
382	862	1388
383	864	1386
384	866	1384
385	868	1381
386	870	1379
387	873	1377
388	874	1374
389	876	1371
390	878	1368
391	880	1366
392	883	1363
393	885	1362
394	888	1360
395	890	1357
396	892	1355
397	894	1352
398	896	1350
399	899	1348
400	901	1346
401	903	1344
402	905	1341
403	907	1339
404	909	1336
405	912	1334
406	914	1331
407	916	1329
408	918	1327
409	920	1324
410	921	1321
411	924	1318
412	925	1315
413	927	1313
414	929	1310
415	932	1309
416	934	1306
417	936	1303
418	938	1301
419	940	1299
420	942	1296
421	944	1293
422	946	1291
423	949	1289
424	951	1286
425	952	1284
426	954	1281
427	957	1279
428	959	1276
429	961	1274
430	963	1272
431	966	1270
432	969	1268
433	971	1266
434	972	1263
